,Code,Year,Deaths,Fertility,GDP ,GenderInequality,LifeExpectancy,tertiary_education
232,IDN,2005,202096.0,2.4329,157227171840.0,0.544,67.6,2.67
233,IDN,2010,169104.0,2.452,,,68.7,3.73
234,IRL,1990,,2.1065,27798994944.0,0.211,74.8,10.61
235,IRL,1995,363.0,1.8454,43860914176.0,0.191,75.5,14.07
236,IRL,2000,386.0,1.8933,65983361024.0,0.202,76.5,16.37
237,IRL,2005,332.0,1.8665,116263354368.0,0.182,78.9,20.47
238,IRL,2010,299.0,2.0562,142428635136.0,0.163,80.5,26.8
239,IRN,1990,105884.0,,70291963904.0,0.708,64.4,4.13
240,IRN,1995,65304.0,2.8854,61097779200.0,0.642,67.8,6.36
241,IRN,2000,42629.0,2.0164,72432558080.0,0.583,69.7,8.0
242,IRN,2005,31528.0,1.775,120914837504.0,0.513,71.8,9.74
243,IRN,2010,25398.0,1.7677,,0.525,73.1,14.66
244,IRQ,1990,34872.0,5.8844,27402739712.0,0.721,58.4,3.8
245,IRQ,2005,35737.0,4.4747,27475089408.0,0.665,64.8,6.75
246,IRQ,2010,34512.0,4.4292,89645113344.0,0.574,67.1,8.77
247,ISL,1990,28.0,2.2939,3672783872.0,0.187,78.2,6.94
248,ISL,1995,23.0,2.0835,4550868992.0,0.157,78.2,8.54
249,ISL,2000,17.0,2.0705,5898634240.0,0.141,79.9,10.71
250,ISL,2005,14.0,2.045,9212086272.0,0.107,81.2,14.08
251,ISL,2010,12.0,2.1904,8566635520.0,0.093,81.7,17.89
252,ISR,1990,1137.0,,29561344000.0,0.27,77.2,14.2
253,ISR,1995,939.0,2.9389,63347019776.0,0.242,77.6,16.27
254,ISR,2000,849.0,2.9464,87505076224.0,0.193,78.9,18.34
255,ISR,2005,760.0,2.8417,78560354304.0,0.168,80.2,18.8
256,ISR,2010,696.0,3.0268,,0.145,81.7,20.26
257,ITA,1990,5422.0,1.3321,663043112960.0,0.212,77.0,3.53
258,ITA,1995,4038.0,1.1924,741890523136.0,0.195,78.1,4.5
259,ITA,2000,2963.0,1.2542,754624626688.0,0.186,79.6,4.99
260,ITA,2005,2500.0,1.3426,1018960347136.0,0.175,81.0,5.6
261,ITA,2010,2226.0,1.4503,1375374934016.0,,82.1,6.84
262,JAM,1990,1875.0,2.8543,2586226176.0,0.471,72.3,1.73
263,JAM,1995,1558.0,2.8808,3662148096.0,0.465,71.5,4.4
264,JAM,2000,1270.0,2.2105,5901700608.0,0.434,70.9,7.09
265,JAM,2005,1053.0,2.063,6162405888.0,0.436,71.0,7.7
266,JAM,2010,904.0,1.7422,8536623104.0,0.417,72.6,8.37
267,JOR,1990,4466.0,5.4782,2342776320.0,0.671,69.9,3.48
268,JOR,1995,4509.0,4.6619,4262967552.0,0.642,70.9,3.62
269,JOR,2000,4292.0,3.9213,5590104064.0,0.593,71.9,3.74
270,JOR,2005,4098.0,3.779,6923740160.0,0.519,72.9,3.98
271,JOR,2010,4109.0,3.7776,,0.482,74.0,3.8
272,JPN,1990,8358.0,,1747931365376.0,0.162,79.0,12.48
273,JPN,1995,6938.0,1.4242,3379938197504.0,0.159,79.7,14.28
274,JPN,2000,5293.0,1.3668,3126995714048.0,0.147,81.2,16.15
275,JPN,2005,4237.0,,2514517753856.0,0.142,82.0,17.88
276,JPN,2010,3555.0,1.3878,3558654869504.0,,82.9,18.91
277,KAZ,1990,20024.0,2.8305,15167893504.0,0.427,64.9,5.84
278,KAZ,1995,15746.0,2.2715,12910545920.0,0.439,63.7,7.3
279,KAZ,2000,10129.0,1.9467,12089743360.0,0.377,64.2,8.42
280,KAZ,2005,8665.0,2.2434,31417905152.0,0.349,65.1,13.48
281,KAZ,2010,7294.0,2.5897,,0.278,,14.03
282,KEN,1990,100047.0,6.1294,4827755520.0,0.716,58.6,1.29
283,KEN,1995,118731.0,5.3664,5732367360.0,0.704,55.6,1.74
284,KEN,2000,120666.0,5.1369,8397364224.0,0.69,54.4,2.26
285,KEN,2005,104029.0,4.7842,10305804288.0,0.647,57.3,2.84
286,KEN,2010,83648.0,4.3667,,0.595,60.6,3.4
287,KGZ,1990,8879.0,3.8029,1505935232.0,0.493,64.3,6.63
288,KGZ,1995,7794.0,3.3221,1052534272.0,0.518,63.9,6.61
289,KGZ,2000,5341.0,2.6172,905271808.0,0.451,65.4,6.81
290,KGZ,2005,4218.0,2.6577,1353130752.0,,66.4,7.56
291,KGZ,2010,4119.0,3.0624,,0.378,68.3,
292,KHM,1990,44256.0,5.6444,806497664.0,0.679,55.4,0.19
293,KHM,1995,43529.0,4.8244,2180581888.0,0.654,56.3,0.24
294,KHM,2000,36145.0,3.7719,2415062784.0,0.602,58.6,0.23
295,KHM,2005,22051.0,3.244,3461162752.0,0.571,64.3,0.79
296,KHM,2010,15831.0,2.7736,,0.51,67.7,1.32
297,KWT,1990,,3.318,10378100736.0,0.591,,6.1
298,KWT,1995,550.0,3.0457,17230503936.0,0.597,75.5,6.3
299,KWT,2000,542.0,2.7368,24924940288.0,0.56,76.7,5.39
300,KWT,2005,552.0,2.6616,44438704128.0,0.36,76.9,4.18
301,KWT,2010,595.0,2.2566,74696785920.0,0.225,78.0,4.28
302,LBR,2000,20710.0,5.8748,349675200.0,0.685,51.4,2.35
303,LBR,2005,16430.0,5.5192,302498880.0,0.668,56.9,2.41
304,LBR,2010,13873.0,5.0583,836606400.0,0.657,59.4,1.9
305,LBY,2005,2816.0,2.7648,26033686528.0,0.325,71.6,8.27
306,LBY,2010,2211.0,2.6027,48391806976.0,0.28,72.4,11.89
307,LKA,1990,8200.0,,4523748352.0,0.469,71.9,3.15
308,LKA,1995,6894.0,2.2949,8234691584.0,0.473,72.3,5.25
309,LKA,2000,5699.0,2.1906,10793541632.0,0.462,,7.65
310,LKA,2005,5107.0,2.2834,13423388672.0,0.435,72.1,8.6
311,LKA,2010,4115.0,2.196,,0.416,,8.51
312,LSO,1990,4984.0,4.7593,306696704.0,0.589,59.4,0.39
313,LSO,1995,5537.0,4.1433,544376896.0,0.583,56.7,0.54
314,LSO,2000,6530.0,3.658,509750752.0,0.585,48.4,0.62
315,LSO,2005,7113.0,3.4381,752591104.0,0.576,43.2,0.64
316,LSO,2010,5606.0,3.2491,,,45.6,0.76
317,LTU,1995,690.0,1.5483,4987463168.0,0.318,69.3,7.75
318,LTU,2000,375.0,1.386,7626622464.0,0.263,72.1,8.58
319,LTU,2005,276.0,1.2942,14369014784.0,0.191,71.7,13.51
320,LTU,2010,190.0,1.5031,24031414272.0,0.149,73.4,15.6
321,LUX,1990,41.0,1.5977,7524668928.0,0.213,75.6,7.03
322,LUX,1995,34.0,1.7131,13816084480.0,0.179,76.7,8.3
323,LUX,2000,25.0,1.7565,14127627264.0,0.17,77.8,9.35
324,LUX,2005,18.0,1.631,20337475584.0,0.133,79.4,13.29
325,LUX,2010,16.0,1.6199,,0.109,80.6,18.54
326,LVA,1995,510.0,1.2742,3665793024.0,0.392,67.0,8.36
