,Entity,Code,Year,Deaths,LifeExpectancy,GenderInequality,GDP ,Fertility,tertiary_education
309,Laos,LAO,2000,18398,58.4,0.587,1144202496.0,4.4,2.0
310,Laos,LAO,2005,14314,61.0,0.554,1504551808.0,3.6726,2.51
311,Laos,LAO,2010,11358,64.0,0.524,4647677952.0,3.1451,3.3
312,Latvia,LVA,1995,510,67.0,0.392,3665793024.0,1.2742,8.36
313,Latvia,LVA,2000,278,70.3,0.275,5244335616.0,1.2423,7.73
314,Latvia,LVA,2005,225,70.8,0.25,9296753664.0,1.3831,9.76
315,Latvia,LVA,2010,173,73.0,0.231,15366171648.0,1.3702,12.42
316,Lesotho,LSO,1990,4984,59.4,0.589,306696704.0,4.7593,0.39
317,Lesotho,LSO,1995,5537,56.7,0.583,544376896.0,4.1433,0.54
318,Lesotho,LSO,2000,6530,48.4,0.585,509750752.0,3.658,0.62
319,Lesotho,LSO,2005,7113,43.2,0.576,752591104.0,3.4381,0.64
320,Lesotho,LSO,2010,5606,45.6,0.558,1415693056.0,3.2491,0.76
321,Liberia,LBR,2000,20710,51.4,0.685,349675200.0,5.8748,2.35
322,Liberia,LBR,2005,16430,56.9,0.668,302498880.0,5.5192,2.41
323,Liberia,LBR,2010,13873,59.4,0.657,836606400.0,5.0583,1.9
324,Libya,LBY,2005,2816,71.6,0.325,26033686528.0,2.7648,8.27
325,Libya,LBY,2010,2211,72.4,0.28,48391806976.0,2.6027,11.89
326,Lithuania,LTU,1995,690,69.3,0.318,4987463168.0,1.5483,7.75
327,Lithuania,LTU,2000,375,72.1,0.263,7626622464.0,1.386,8.58
328,Lithuania,LTU,2005,276,71.7,0.191,14369014784.0,1.2942,13.51
329,Lithuania,LTU,2010,190,73.4,0.149,24031414272.0,1.5031,15.6
330,Luxembourg,LUX,1990,41,75.6,0.213,7524668928.0,1.5977,7.03
331,Luxembourg,LUX,1995,34,76.7,0.179,13816084480.0,1.7131,8.3
332,Luxembourg,LUX,2000,25,77.8,0.17,14127627264.0,1.7565,9.35
333,Luxembourg,LUX,2005,18,79.4,0.133,20337475584.0,1.631,13.29
334,Luxembourg,LUX,2010,16,80.6,0.109,33880893440.0,1.6199,18.54
